"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","vgpr","sgpr","fbar","sig","obj","GPUBusy","VALUBusy","SALUBusy","MemUnitBusy","SFetchInsts","FetchSize","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
497,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE16fill_send_bufferERNS_11DeviceArrayIdEERKS3_RNS_8SettingsERNS_6DomainIdEEd_l174.kd",0,1,62,8368,8374,16384,256,2048,128,40,88,48448,"0x14b99bdd6f00","0x14b898045d80",100,32.9309350174,6.1916865471,94.5542013513,6,13726.4375,1026433076131422,1026433075883228,1026433077590439,1026433077591930,1707211
498,"__omp_offloading_43b2fce4_e80082d4__ZN7Poisson6JacobiIdE17relaxation_kernelERNS_6DomainIdEEdllllll_l138.kd",0,0,62,8368,8372,112640,256,2048,0,40,80,56320,"0x14b99bdd7180","0x14b898045dc0",100,32.9303203935,6.1915709852,94.552436589,6,13726.4375,1026433076128316,1026433075939549,1026433077626119,1026433077627198,1686570
499,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE16fill_send_bufferERNS_11DeviceArrayIdEERKS3_RNS_8SettingsERNS_6DomainIdEEd_l174.kd",1,4,62,8368,8373,16384,256,2048,128,40,88,48448,"0x14b99bdd7100","0x14b893f45d80",100,2.0287651942,0.8710869143,12.6782357897,5,42048.5625,1026433076525485,1026433075910929,1026433077525179,1026433077529349,1614250
500,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,2,62,8368,8377,16896,256,2048,0,32,80,80896,"0x14b99bdd7200","0x14b898045ec0",100,1.5842989128,0.783956919,6.4265160022,7,271,1026433077647718,1026433075726748,1026433078592045,1026433078657834,2865297
501,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,3,62,8368,8374,16896,256,2048,0,32,80,80896,"0x14b99bdd6f80","0x14b898045ec0",100,1.5993857633,0.7914223289,5.9556031062,7,277,1026433077652077,1026433076077790,1026433078532524,1026433078653716,2454734
502,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",0,0,63,8368,8376,16896,256,2048,0,32,80,80896,"0x14b99bdd7700","0x14b898045ec0",100,1.8547534107,0.9177856259,4.9049332807,7,271,1026433077657407,1026433077626119,1026433078730285,1026433079281873,1104166
503,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,6,62,8368,8373,16896,256,2048,0,32,80,80896,"0x14b99bdd6f00","0x14b893f45ec0",100,1.8357479351,0.908381167,8.8212810253,7,279.5625,1026433077695020,1026433076050450,1026433078561345,1026433078651222,2510895
504,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,7,62,8368,8375,16896,256,2048,0,32,80,80896,"0x14b99bdd7180","0x14b893f45ec0",100,2.2098416914,1.0934935762,6.5610682539,7,275.75,1026433077704238,1026433076199251,1026433079259589,1026433079521487,3060338
505,"__omp_offloading_43b2fce4_f60002d7__ZN7Poisson7NeumannIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l112.kd",1,4,63,8368,8368,16896,256,2048,0,32,80,80896,"0x14b99bdd7080","0x14b893f45ec0",100,1.6716350387,0.8271733598,4.9631209455,7,275.75,1026433077704338,1026433077525179,1026433079216229,1026433079279899,1691050
506,"__omp_offloading_43b2fce4_f60002d8__ZN7Poisson11OMPBoundaryIdE8write_toERNS_11DeviceArrayIdEERNS_8SettingsE_l91.kd",0,1,63,8368,8378,16896,256,2048,0,28,72,63424,"0x14b99bdd7000","0x14b898045e00",100,1.3462500988,0.7813545481,3.0567226891,6,139.3125,1026433078162004,1026433077590439,1026433079239569,1026433079278166,1649130
